"thickness","break_strength"
7.7,791.7
6.3,610
8.6,710
11.8,940.7
12.4,990
12,916.2
11.4,835
10.4,724.3
9.2,611.1
9,621.7
9.5,735.4
12.5,990
11.7,862.7
8,731
7.3,710
7.2,604.7
6.1,508.8
6.4,393
6.4,416
6.9,400
5.8,335.6
5.3,306.4
6.7,426
5.8,382.5
5.7,340.8
6.1,436.7
6.2,333.3
6.3,382.3
6,397.7
6.8,619.1
7.9,857.3
7.2,592.5
13,983.3
13.3,958.8
10.7,747.8
12.2,866
11.6,810.8
9.7,950
10.8,1282
10.1,1233.8
12.7,1660
9.8,746
10,650
13.8,992.5
13.3,896.7
12.4,873.9
12.2,924.4
14.1,1050
13.7,973.3
